Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Domain_Age,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
hzibupigbnrtqezn-dot-sunlit-center-322513-556drtgf4.oa.r.appspot.com,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
netttxnet.byethost3.com,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
phx.chromeproxy.net,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
midnightluna1.typeform.com,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,1
caracasmateriais.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
dadagency.in,0,0,1,2,0,0,0,0,0,1,1,1,1,1,1,1
onlineservicefree.club,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1
joecamera.net,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1
getrich.co.za,0,0,0,4,0,0,0,0,0,0,1,1,1,1,1,1
gfxx.creatorlink.net,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
isaiahchristopherent.com,0,0,1,5,0,0,1,0,1,1,1,1,1,1,1,1
phx.chromeproxy.net,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
pbi.unsam.ac.id,0,0,1,4,0,0,0,0,0,0,0,1,1,1,1,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,1,1,1,1
185.232.198.104.bc.googleusercontent.com,0,0,1,5,0,0,1,0,0,1,1,1,1,1,1,1
egacal.edu.pe,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1
confirm-mynew-payments.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
pathikareps.com,0,0,1,3,0,0,0,0,0,0,1,0,0,1,0,1
evernote.com,0,0,1,5,0,0,0,0,0,0,1,0,0,1,0,1
secure-halifax-device.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
free-discordnitro.ru,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
amoueaom-co-jp.svi1l.cn,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1
cyberpulp.com,0,0,1,3,0,0,0,0,0,1,1,1,1,1,1,1
dhlgpi.com,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1
amazon.card-4taikai0.net,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1
natwest.secured-personal-verify.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
monstercarp.rn86.ru,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1
relevant.systems,0,1,1,7,1,0,0,0,0,0,1,1,1,1,1,1
forms.office.com,0,0,1,2,0,0,0,0,0,1,1,0,0,1,0,1
m-wtcsucu1.streamsteam.ca,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
login.vdohnovenie.org.ua,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1
uc-card.com.ldjkz.cn,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
storage.cloud.google.com,0,1,1,2,0,0,1,0,0,1,1,0,0,1,1,1
u1208116rr2.ha004.t.justns.ru,0,0,1,2,0,0,0,0,0,0,1,1,1,1,1,1
agsitesreis.com.br,0,0,1,6,0,0,0,0,0,1,1,1,1,1,1,1
offal.odoo.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
amayzo.com,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
forupsite.com,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1
darkplug.net,0,0,1,2,0,0,0,0,1,1,1,1,1,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
etasarla.com,0,0,1,8,0,0,0,0,0,0,0,1,1,1,1,1
credito-emiliano-app-access.u1403273.cp.regruhosting.ru,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
top10songsnews.com,0,0,0,3,0,0,0,0,0,0,0,1,1,1,1,1
jbshtl.secure52serv.com,0,0,1,3,0,0,0,0,0,0,1,1,1,1,1,1
m54af8.webwave.dev,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
santiatoat-alrkaoir230.ydns.eu,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
reconfirmpost287846656.us,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
izaguirrestx.com,0,0,0,2,0,0,1,0,1,1,1,1,1,1,1,1
page-reconfrim-10000001234576672625690092.tk,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
clouddoc-authorize.firebaseapp.com,0,0,1,2,0,0,0,1,1,1,1,1,1,1,1,1
weddingstaffcompanies.com,0,0,1,3,0,0,0,0,0,0,0,1,1,1,1,1
updted-access.demopage.co,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
urlz.fr,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1
firebasestorage.googleapis.com,0,1,1,5,0,0,1,0,1,1,1,1,1,1,1,1
lloydsbank.personal-devices-login.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
spinosacenter.com,0,0,1,4,0,0,0,0,0,0,1,1,1,1,1,1
metromediatech.com,0,0,1,2,0,0,0,0,0,0,0,1,1,1,1,1
suports-identiity-notification-secur-recovery.my.id,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
tong464-my.sharepoint.com,0,0,1,5,0,0,1,1,0,1,1,1,1,1,1,1
www-office-com.office365.apps.maxsolutions.com.au,0,0,1,1,0,0,0,1,0,1,1,1,1,1,1,1
ervashipping.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
enlinea-pe.digital,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1
roupakids.blogspot.com,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1
handytac.com,0,0,1,4,0,0,0,0,0,1,1,0,0,1,0,1
timeline.fbcom-jyimaefz95.kets.sd,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1
joinngrubwa.itsaol.com,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
spectralwirejewelry.com,0,0,1,4,0,0,0,0,0,1,1,0,0,1,0,1
efashion.world,0,0,1,4,0,0,0,0,0,1,1,1,1,1,1,1
lloydbank-online-secures.com,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
tomandson.com,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1
gcsnc-v.cf,0,0,1,4,0,0,0,1,0,1,1,1,1,1,1,1
blog.gruszka.info,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,1
